时间,进出口值
01-2005,428465
02-2005,333284
03-2005,510403
04-2005,457293
05-2005,433308
06-2005,465776
07-2005,394442
08-2005,349183
09-2005,433539
10-2005,308940
11-2005,410977
12-2005,467073
01-2006,453396
02-2006,402894
03-2006,513140
04-2006,488787
05-2006,506008
06-2006,598474
07-2006,503200
08-2006,594917
09-2006,747904
10-2006,413742
11-2006,598985
12-2006,537815
01-2007,544038
02-2007,567306
03-2007,716142
04-2007,810111
05-2007,704147
06-2007,770372
07-2007,752678
08-2007,647177
09-2007,712891
10-2007,801530
11-2007,904744
12-2007,849523
01-2008,888554
02-2008,729990
03-2008,906513
04-2008,779484
05-2008,989216
06-2008,893886
07-2008,1039736
08-2008,664196
09-2008,815401
10-2008,569948
11-2008,486635
12-2008,568930
01-2009,383969
02-2009,442721
03-2009,457388
04-2009,480604
05-2009,508312
06-2009,541023
07-2009,720870
08-2009,660480
09-2009,747745
10-2009,670113
11-2009,820935
12-2009,997520
01-2010,720999
02-2010,701216
03-2010,748939
04-2010,749000
05-2010,721842
06-2010,861520
07-2010,973780
08-2010,850707
09-2010,996839
10-2010,757864
11-2010,1051221
12-2010,1151458
01-2011,984345
02-2011,642699
03-2011,988349
04-2011,1103892
05-2011,1145677
06-2011,1014218
07-2011,1123899
08-2011,1056366
09-2011,1146322
10-2011,860306
11-2011,1081990
12-2011,1130476
